,카카오,카카오_value,한전기술,한전기술_value,코스맥스,코스맥스_value,한글과컴퓨터,한글과컴퓨터_value,제테마,제테마_value,이수앱지스,이수앱지스_value,이지케어텍,이지케어텍_value,한컴MDS,한컴MDS_value,씨티케이,씨티케이_value,포인트엔지니어링,포인트엔지니어링_value,큐로컴,큐로컴_value,오르비텍,오르비텍_value,초록뱀컴퍼니,초록뱀컴퍼니_value,코스맥스비티아이,코스맥스비티아이_value,에프엔씨엔터,에프엔씨엔터_value,에스엔유,에스엔유_value,위세아이텍,위세아이텍_value,지엔원에너지,지엔원에너지_value,메이슨캐피탈,메이슨캐피탈_value,일승,일승_value,녹십자홀딩스2우,녹십자홀딩스2우_value
0,카카오페이,0.6925033864885847,한전산업,0.6842196329951337,코스맥스비티아이,0.7918876947600444,NHN벅스,0.46320595757279504,휴젤,0.17074557584578198,이화전기,0.4378615006897215,케어젠,0.7081661508861702,한컴위드,0.6035834916312386,씨티씨바이오,0.7370069446085278,주성엔지니어링,0.6847498357059549,지엔코,0.44083410316684063,비에이치아이,0.5537916399323106,초록뱀미디어,0.43369289097944275,코스맥스,0.7918876947600444,삼영이엔씨,0.7894774298032441,메디포스트,0.19711331743142305,아이텍,0.8882426761954303,지엔코,0.561493177884624,한국캐피탈,0.49772355787171224,SK5호스팩,0.07581601353741063,녹십자홀딩스,0.8583335325884001
1,카카오뱅크,0.6892256906600788,비에이치아이,0.6375944525441632,코스맥스엔비티,0.6378620329445466,CBI,0.4314356207361094,애머릿지,0.16311902149951982,파나진,0.37828020050742744,유비케어,0.58810806268419,한컴라이프케어,0.4802246261308316,케이씨티,0.6401735257465553,참엔지니어링,0.6651961248713181,지엔원에너지,0.4188282642060497,한전산업,0.40472413807972163,컴퍼니케이,0.4097145168347472,코스맥스엔비티,0.5927225174556104,지엔씨에너지,0.6240173217004349,휴럼,0.16092795128243625,마인즈랩,0.11799388485635927,에스에너지,0.4434881200632548,큐캐피탈,0.49506754567763117,STX중공업,0.07405461769930387,녹십자엠에스,0.7040417114058942
2,카카오게임즈,0.47050442825959254,보성파워텍,0.490960968177248,코스온,0.5938899253020646,인트로메딕,0.4254557886783234,국보,0.15451679337030824,이아이디,0.36795613187525045,케어랩스,0.4705147032097108,씨이랩,0.34324356195230044,케이씨에스,0.3062871838737149,탑엔지니어링,0.6163175414532395,큐로홀딩스,0.26056035916967357,보성파워텍,0.37762251307802625,NHN벅스,0.3724223796306726,코스온,0.5357757807604124,에이블씨엔씨,0.620813096427396,고바이오랩,0.13539918057388423,엑셈,0.09382203336030585,큐로컴,0.4188282642060497,리드코프,0.13060422986907977,SK6호스팩,0.07352605876630358,녹십자,0.7021488924609968
3,세틀뱅크,0.24316983577071383,한신기계,0.392401836606905,CSA 코스믹,0.543300050137566,NHN,0.3608844278166178,휴온스글로벌,0.14234314027672634,바이넥스,0.3113225435738941,한컴라이프케어,0.3938811598484843,선익시스템,0.27749108157660723,효성오앤비,0.1907486589963146,삼성엔지니어링,0.5884609773652217,우정바이오,0.14281328308846905,한전기술,0.3574122466605215,스카이이앤엠,0.3683148612571461,CSA 코스믹,0.49713804756737623,엑사이엔씨,0.5331455848037079,대한뉴팜,0.12943402785742358,와이더플래닛,0.08878775646922364,SGC에너지,0.41732115735508646,나우IB,0.11946325873563794,대우조선해양,0.07030416294336557,녹십자웰빙,0.5314616966223219
4,한국금융지주,0.22861998339358708,두산중공업,0.38467822454519374,맥스트,0.5081513425101248,다날,0.3211181307213438,파마리서치,0.13894842254375886,휴메딕스,0.27796589264006955,인피니트헬스케어,0.2887061582182778,APS홀딩스,0.27504083715190275,스카이이앤엠,0.17670198745067145,지앤비에스엔지니어링,0.47187172371164887,큐캐피탈,0.12870102717477772,에너토크,0.32236245544348346,한국앤컴퍼니,0.3511561088960901,맥스트,0.46399236611390876,DL이앤씨우,0.215522026958097,녹십자,0.12457220587593255,삼영에스앤씨,0.06498690655667222,지엔씨에너지,0.41604806366781005,큐로컴,0.08893861886233424,디지틀조선,0.0654091662630056,지씨셀,0.32592439196660794
5,피코그램,0.1998040840874682,일진파워,0.3784210367716581,엔케이맥스,0.4626457108358351,초록뱀컴퍼니,0.29130907886575014,디와이디대양,0.12973168710507374,휴온스글로벌,0.20095197592735925,솔본,0.17508535923840352,엔피,0.2399431082351158,한국화장품제조,0.14768557204092567,에쓰씨엔지니어링,0.3985895846314012,아이진,0.12783292537838414,한전KPS,0.3054052886882681,인트로메딕,0.33537333459564395,유티아이,0.4355993502450703,큐브엔터,0.1526825444993136,영진약품,0.11988858661851601,에이트원,0.0645395723406136,SNT에너지,0.40146439270534134,비투엔,0.08458254065201844,현대미포조선,0.06412108237692485,OQP,0.21234427144088516
6,DSR,0.1764825920681682,오르비텍,0.3574122466605215,한국콜마,0.3645770268883588,스카이이앤엠,0.2603860172957988,우림피티에스,0.128860913188245,이트론,0.15761305526086905,원티드랩,0.16354489686200974,큐에스아이,0.22121953712117925,동구바이오제약,0.14728206718152087,이삭엔지니어링,0.3619490180838271,차백신연구소,0.11826819925690508,한신기계,0.2963357562507743,CBI,0.3284738320861094,엔케이맥스,0.41769765442806595,JYP Ent.,0.12882213312256222,알티캐스트,0.10011721859487104,지아이텍,0.061831641574026014,SH에너지화학,0.35936890589617915,옵티팜,0.08117533794477236,삼성중공업,0.06307742103920969,휴먼엔,0.18363710165374486
7,대신증권,0.1715286315489542,한전KPS,0.33281141879461323,한국화장품제조,0.35936858820812073,초록뱀미디어,0.20642259485783282,클래시스,0.12182215785028862,중앙백신,0.15050512140383707,피에이치씨,0.1630475178741235,YG PLUS,0.210025744564882,로지시스,0.14148060555096517,도화엔지니어링,0.34137149222752056,팜젠사이언스,0.11753475337912106,HRS,0.2919148746918128,미래컴퍼니,0.3278061003815315,코스메카코리아,0.31023942399368915,YG PLUS,0.1127375311013384,녹십자웰빙,0.09145648134375836,씨이랩,0.061546866038406416,현대에너지솔루션,0.32394163746441446,아우딘퓨쳐스,0.07073431648533442,케이비제19호스팩,0.06183006420239697,골드퍼시픽,0.1688451038711144
8,라온시큐어,0.16424448335828096,서전기전,0.31422464941318395,한국화장품,0.34602596003237557,한컴MDS,0.19502244019950035,파크시스템스,0.11125473340480273,종근당바이오,0.1469391870990335,비트컴퓨터,0.15374509817883883,코세스,0.20396912253458457,코오롱플라스틱,0.12960801005660058,GST,0.24286337321001378,디엔에이링크,0.11503920321388528,두산중공업,0.28010685923399503,NHN,0.3066059767995571,코맥스,0.30788416412633496,글로벌에스엠,0.10303293145590092,쎌바이오텍,0.07870091822311095,큐라클,0.059315870009220825,대성에너지,0.24022790042326667,마니커에프앤지,0.0628255413900071,세진중공업,0.061114828751673185,쎌마테라퓨틱스,0.14176916439651607
9,엑셈,0.16106665681230378,HRS,0.2907140732151085,코맥스,0.3370873927755871,한국컴퓨터,0.16751653187296167,영흥,0.10283579101069433,이큐셀,0.14687066776978755,휴럼,0.15067387982620353,에이트원,0.20054612537735855,에코플라스틱,0.12295608693497477,유니셈,0.18249203134558112,씨씨에스,0.1145593299109429,서전기전,0.2393818075907778,브레인즈컴퍼니,0.2983599791313951,대아티아이,0.3019431284698779,DL우,0.08983576481330821,KD,0.07521123028243495,에프앤가이드,0.05865073800319956,LG,0.199677600527287,제이웨이,0.06271884929550532,HSD엔진,0.06016249113321037,와이오엠,0.14052237492771583
10,한세예스24홀딩스,0.16050495150215865,에너토크,0.27694722901079866,코스메카코리아,0.3252164114294147,파나진,0.14733818377909877,이수앱지스,0.09730247625077032,하이트론,0.1466518392584678,SGA솔루션즈,0.14485295213092128,옵티시스,0.19928760455093847,한네트,0.11451511009186548,서울반도체,0.181908202068917,GH신소재,0.11380289046265067,일진파워,0.23654234193781482,한글과컴퓨터,0.29130907886575014,위메이드맥스,0.2779575011925805,매일홀딩스,0.08776096075998523,차바이오텍,0.07083229242884981,솔트룩스,0.05757737411476906,큐로홀딩스,0.19443907308752034,내츄럴엔도텍,0.061134646599347496,케이엔더블유,0.06010789837017947,파나진,0.12294349014223403
11,드림시큐리티,0.158028111945251,SNT에너지,0.26797891823354425,아모레G,0.3129442504428633,삼영에스앤씨,0.13295881689193667,세영디앤씨,0.08719629026626403,아이진,0.14430369197593826,에이플러스에셋,0.1419027420047977,엠게임,0.19523742452691684,한국화장품,0.10958117138548777,포인트모바일,0.18032498251966078,에스티팜,0.10853731411072956,SNT에너지,0.21824752822741922,바이브컴퍼니,0.27061344651924263,싸이맥스,0.27259009341280516,디에이테크놀로지,0.08093088737595426,종근당,0.06554438609124306,트윔,0.05645610960447498,신영증권,0.18391330475520365,핸디소프트,0.05803378859464326,케이비제20호스팩,0.059484183114426756,HK이노엔,0.11409810481990837
12,다날,0.13746188852961835,SNT중공업,0.1996124582990652,위메이드맥스,0.299847612857445,드래곤플라이,0.12094702121523042,휴온스,0.08496540043570318,옵트론텍,0.14397012691865485,SGA,0.13158651975113891,한글과컴퓨터,0.19502244019950035,현대건설우,0.10456542394423912,와이아이케이,0.17952688104567568,범양건영,0.10235429888220522,우리기술,0.18636612401057742,드림어스컴퍼니,0.2305151173033698,코스나인,0.267168901268379,팬엔터테인먼트,0.08024608993159124,CMG제약,0.06518099261442697,한컴위드,0.055290158282834186,강원에너지,0.1619731597213388,셀리드,0.05702506336426351,STX엔진,0.058588171975977224,일신바이오,0.10424807125534279
13,NAVER,0.1363335454815884,우리기술,0.19756284584392092,싸이맥스,0.2961020456575756,APS홀딩스,0.11877984503175114,셀리드,0.08398857383096134,셀리드,0.13718882203557173,아모레퍼시픽,0.11980864260513292,맥스트,0.18586302781690556,KCTC,0.10316977342258377,ISC,0.17811861524186917,한국캐피탈,0.10087936407997133,SNT중공업,0.12316901327137879,다날,0.23025709201176198,오가닉티코스메틱,0.2601333603919845,미투온,0.0768319047859681,우리바이오,0.06223152538761075,샘씨엔에스,0.0526203013877026,코람코에너지리츠,0.15148731361261006,마니커,0.055828001358942184,브릿지바이오테라퓨틱스,0.057429731571702315,삼성중공우,0.10314601183908927
